ID,Gender,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,F,25,1,49,91107,4,1.6,1,0,0,1,0,0,0
2,F ,45,19,34,90089,3,1.5,1,0,0,1,0,0,0
3,M,39,15,11,94720,1,1,1,0,0,0,0,0,0
4,M,35,9,100,94112,1,2.7,2,0,0,0,0,0,0
5,M,35,8,45,91330,4,1,2,0,0,0,0,0,1
6,F,37,13,29,92121,4,0.4,2,155,0,0,0,1,0
7,F,53,27,72,91711,2,1.5,2,0,0,0,0,1,0
8,F ,50,24,22,93943,1,0.3,3,0,0,0,0,0,1
9,M,35,10,81,90089,3,0.6,2,104,0,0,0,1,0
10,M,34,9,180,93023,1,8.9,3,0,1,0,0,0,0
11,M,65,39,105,94710,4,2.4,3,0,0,0,0,0,0
12,F,29,5,45,90277,3,0.1,2,0,0,0,0,1,0
13,F,48,23,114,93106,2,3.8,3,0,0,1,0,0,0
14,F ,59,32,40,94920,4,2.5,2,0,0,0,0,1,0
15,M,67,41,112,91741,1,2,1,0,0,1,0,0,0
16,M,60,30,22,95054,1,1.5,3,0,0,0,0,1,1
17,M,38,14,130,95010,4,4.7,3,134,1,0,0,0,0
18,F,42,18,81,94305,4,2.4,1,0,0,0,0,0,0
19,F,46,21,193,91604,2,8.1,3,0,1,0,0,0,0
20,F ,55,28,21,94720,1,0.5,2,0,0,1,0,0,1
21,M,56,31,25,94015,4,0.9,2,111,0,0,0,1,0
22,M,57,27,63,90095,3,2,3,0,0,0,0,1,0
23,M,29,5,62,90277,1,1.2,1,260,0,0,0,1,0
24,F,44,18,43,91320,2,0.7,1,163,0,1,0,0,0
25,F,36,11,152,95521,2,3.9,1,159,0,0,0,0,1
26,F ,43,19,29,94305,3,0.5,1,97,0,0,0,1,0
27,M,40,16,83,95064,4,0.2,3,0,0,0,0,0,0
28,M,46,20,158,90064,1,2.4,1,0,0,0,0,1,1
29,M,56,30,48,94539,1,2.2,3,0,0,0,0,1,1
30,F,38,13,119,94104,1,3.3,2,0,1,0,1,1,1
31,F,59,35,35,93106,1,1.2,3,122,0,0,0,1,0
32,F ,40,16,29,94117,1,2,2,0,0,0,0,1,0
33,M,53,28,41,94801,2,0.6,3,193,0,0,0,0,0
34,M,30,6,18,91330,3,0.9,3,0,0,0,0,0,0
35,M,31,5,50,94035,4,1.8,3,0,0,0,0,1,0
36,F,48,24,81,92647,3,0.7,1,0,0,0,0,0,0
37,F,59,35,121,94720,1,2.9,1,0,0,0,0,0,1
38,F ,51,25,71,95814,1,1.4,3,198,0,0,0,0,0
39,M,42,18,141,94114,3,5,3,0,1,1,1,1,0
40,M,38,13,80,94115,4,0.7,3,285,0,0,0,1,0
41,M,57,32,84,92672,3,1.6,3,0,0,1,0,0,0
42,F,34,9,60,94122,3,2.3,1,0,0,0,0,0,0
43,F,32,7,132,90019,4,1.1,2,412,1,0,0,1,0
44,F ,39,15,45,95616,1,0.7,1,0,0,0,0,1,0
45,M,46,20,104,94065,1,5.7,1,0,0,0,0,1,1
46,M,57,31,52,94720,4,2.5,1,0,0,0,0,0,1
47,M,39,14,43,95014,3,0.7,2,153,0,0,0,1,0
48,F,37,12,194,91380,4,0.2,3,211,1,1,1,1,1
49,F,56,26,81,95747,2,4.5,3,0,0,0,0,0,1
50,F ,40,16,49,92373,1,1.8,1,0,0,0,0,0,1
51,M,32,8,8,92093,4,0.7,2,0,0,1,0,1,0
52,M,61,37,131,94720,1,2.9,1,0,0,0,0,1,0
53,M,30,6,72,94005,1,0.1,1,207,0,0,0,0,0
54,F,50,26,190,90245,3,2.1,3,240,1,0,0,1,0
55,F,29,5,44,95819,1,0.2,3,0,0,0,0,1,0
56,F ,41,17,139,94022,2,8,1,0,0,0,0,1,0
57,M,55,30,29,94005,3,0.1,2,0,0,1,1,1,0
58,M,56,31,131,95616,2,1.2,3,0,1,0,0,0,0
59,M,28,2,93,94065,2,0.2,1,0,0,0,0,0,0
60,F,31,5,188,91320,2,4.5,1,455,0,0,0,0,0
61,F,49,24,39,90404,3,1.7,2,0,0,1,0,1,0
62,F ,47,21,125,93407,1,5.7,1,112,0,1,0,0,0
63,M,42,18,22,90089,1,1,1,0,0,0,0,0,0
64,M,42,17,32,94523,4,0,2,0,0,0,0,1,0
65,M,47,23,105,90024,2,3.3,1,0,0,0,0,0,0
66,F,59,35,131,91360,1,3.8,1,0,0,0,0,1,1
67,F,62,36,105,95670,2,2.8,1,336,0,0,0,0,0
68,F ,53,23,45,95123,4,2,3,132,0,1,0,0,0
69,M,47,21,60,93407,3,2.1,1,0,0,0,0,1,1
70,M,53,29,20,90045,4,0.2,1,0,0,0,0,1,0
71,M,42,18,115,91335,1,3.5,1,0,0,0,0,0,1
72,F,53,29,69,93907,4,1,2,0,0,0,0,1,0
73,F,44,20,130,92007,1,5,1,0,0,0,0,0,1
74,F ,41,16,85,94606,1,4,3,0,0,0,0,1,1
75,M,28,3,135,94611,2,3.3,1,0,0,0,0,0,1
76,M,31,7,135,94901,4,3.8,2,0,1,0,1,1,1
77,M,58,32,12,91320,3,0.3,3,0,0,0,0,0,0
78,F,46,20,29,92220,3,0.5,2,0,0,0,0,0,0
79,F,54,30,133,93305,2,2.6,3,0,1,0,0,0,0
80,F ,50,26,19,94720,2,0.4,1,118,0,0,0,1,0
81,M,60,36,41,95134,4,1.3,1,174,0,0,0,1,1
82,M,47,22,40,94612,3,2.7,2,0,0,0,0,1,0
83,M,41,16,82,92507,1,4,3,0,0,0,0,1,0
84,F,33,9,50,94305,1,2.4,2,0,0,0,0,0,0
85,F,46,22,18,91730,1,0.9,3,0,0,0,0,1,0
86,F ,27,2,109,94005,4,1.8,3,0,0,0,0,0,0
87,M,40,16,42,94501,4,2.2,2,126,0,0,0,0,0
88,M,48,22,78,94305,3,1.1,1,0,0,0,0,1,0
89,M,65,41,51,94117,2,1.1,1,0,0,0,0,1,0
90,F,25,-1,113,94303,4,2.3,3,0,0,0,0,0,1
91,F,55,30,118,90277,4,5.6,2,0,1,0,0,1,0
92,F ,35,10,29,94105,4,1.1,3,0,0,0,0,1,0
93,M,43,19,34,94305,3,0.6,2,0,0,0,0,0,0
94,M,60,34,64,94550,2,1.7,3,236,0,1,0,1,0
95,M,65,39,121,92612,1,2,1,0,0,0,0,0,0
96,F,38,12,48,95617,4,0.2,3,0,0,0,0,1,0
97,F,41,15,80,95014,1,5.2,1,0,0,0,0,0,0
98,F ,54,28,161,92121,1,2.9,1,0,0,0,0,1,0
99,M,49,23,94,92374,1,0.3,1,0,0,0,0,1,0
100,M,66,41,15,91711,3,0.1,3,0,0,0,0,1,0
101,M,48,23,74,94080,1,1.2,1,0,0,0,0,1,0
102,F,61,36,30,94608,3,1.3,2,0,0,0,0,0,0
103,F,53,23,44,93555,3,1,3,198,0,0,0,1,1
104,F ,43,18,22,95670,2,0.3,2,0,0,0,0,1,0
105,M,56,32,38,93311,4,1.3,1,166,0,0,0,1,1
106,M,24,0,35,94704,3,0.1,2,0,0,1,0,1,0
107,M,43,17,69,92717,4,2.9,1,0,0,0,0,1,1
108,F,42,18,43,92037,1,0.7,1,136,0,0,0,0,0
109,F,33,7,32,95136,1,0.6,3,166,0,0,0,1,0
110,F ,43,17,49,94542,1,2.8,1,0,0,0,0,1,0
111,M,41,14,9,91330,3,1,2,0,0,0,0,0,0
112,M,62,38,45,94143,4,1.3,2,0,0,0,0,1,0
113,M,40,15,82,91775,3,1,1,309,0,0,0,0,0
114,F,58,34,92,92703,2,2.8,1,103,0,0,0,0,0
115,F,39,14,39,92354,3,0.5,3,0,0,0,0,1,0
116,F ,65,40,81,92024,3,1.8,2,0,0,0,0,1,0
117,M,54,29,35,92831,1,1.5,2,0,0,0,0,1,0
118,M,58,33,61,92833,2,2.3,3,193,0,0,0,1,0
119,M,41,16,73,92647,3,3,1,0,0,0,0,1,0
120,F,32,7,112,94304,1,4.6,1,366,0,0,0,0,0
121,F,54,29,12,90057,2,0.2,3,0,0,0,0,1,0
122,F ,52,26,38,91711,3,0.9,3,0,0,0,0,1,0
123,M,58,32,73,94523,2,0.7,2,0,0,0,0,1,1
124,M,37,13,84,92130,1,3.6,2,0,0,1,0,0,0
125,M,39,15,78,92121,4,2.4,1,118,0,0,0,1,0
126,F,60,35,80,91301,3,0.5,1,0,0,0,0,1,0
127,F,31,5,115,92096,2,1.3,1,101,0,0,0,1,1
128,F ,34,8,82,92646,1,2.7,2,251,0,0,0,1,0
129,M,38,14,74,92182,2,0,1,0,0,1,0,1,0
130,M,41,16,70,92131,3,0.5,3,0,0,0,0,0,1
131,M,28,4,81,94801,3,1.5,1,276,0,0,0,1,0
132,F,58,34,149,93720,4,7.2,2,0,1,0,1,1,1
133,F,31,1,51,90840,2,1.75,3,0,0,0,0,0,0
134,F ,30,4,39,90245,3,1.1,2,0,0,0,0,1,0
135,M,53,29,98,95035,3,1.8,2,0,0,0,0,0,0
136,M,58,33,45,93010,4,2.1,1,0,0,0,0,1,1
137,M,59,32,49,95035,4,2.5,2,0,0,0,0,1,0
138,F,49,25,128,95054,2,0.4,1,0,0,0,0,0,0
139,F,59,34,42,94928,3,1.5,1,0,0,1,1,0,1
